Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-17,1.4934141635894775,8.0
Sum of contribution of events ≤ t,-17,0.09898018836975098,8.0
Sum of contribution of events > t,-18,1.5513532161712646,8.0
Sum of contribution of events ≤ t,-18,0.04104113578796387,8.0
Sum of contribution of events > t,-19,1.5923943519592285,8.0
Sum of contribution of events ≤ t,-19,0.0,8.0
Sum of contribution of events > t,0,9.5367431640625e-07,9.0
Sum of contribution of events ≤ t,0,1.6135916709899902,9.0
Sum of contribution of events > t,-1,0.12121844291687012,9.0
Sum of contribution of events ≤ t,-1,1.4923741817474365,9.0
Sum of contribution of events > t,-2,0.5266344547271729,9.0
Sum of contribution of events ≤ t,-2,1.0869581699371338,9.0
Sum of contribution of events > t,-3,0.7203953266143799,9.0
Sum of contribution of events ≤ t,-3,0.8931972980499268,9.0
Sum of contribution of events > t,-4,0.8307807445526123,9.0
Sum of contribution of events ≤ t,-4,0.7828118801116943,9.0
Sum of contribution of events > t,-5,0.9172627925872803,9.0
Sum of contribution of events ≤ t,-5,0.6963298320770264,9.0
Sum of contribution of events > t,-6,0.9805343151092529,9.0
Sum of contribution of events ≤ t,-6,0.6330583095550537,9.0
Sum of contribution of events > t,-7,1.0369040966033936,9.0
Sum of contribution of events ≤ t,-7,0.5766885280609131,9.0
Sum of contribution of events > t,-8,1.0885155200958252,9.0
Sum of contribution of events ≤ t,-8,0.5250771045684814,9.0
Sum of contribution of events > t,-9,1.1394121646881104,9.0
Sum of contribution of events ≤ t,-9,0.4741804599761963,9.0
Sum of contribution of events > t,-10,1.1869537830352783,9.0
Sum of contribution of events ≤ t,-10,0.4266388416290283,9.0
Sum of contribution of events > t,-11,1.2414262294769287,9.0
Sum of contribution of events ≤ t,-11,0.37216639518737793,9.0
Sum of contribution of events > t,-12,1.2900645732879639,9.0
Sum of contribution of events ≤ t,-12,0.3235280513763428,9.0
Sum of contribution of events > t,-13,1.3243067264556885,9.0
Sum of contribution of events ≤ t,-13,0.28928589820861816,9.0
Sum of contribution of events > t,-14,1.3660547733306885,9.0
Sum of contribution of events ≤ t,-14,0.24753785133361816,9.0
Sum of contribution of events > t,-15,1.4088237285614014,9.0
Sum of contribution of events ≤ t,-15,0.20476889610290527,9.0
Sum of contribution of events > t,-16,1.4565799236297607,9.0
Sum of contribution of events ≤ t,-16,0.1570127010345459,9.0
Sum of contribution of events > t,-17,1.5063745975494385,9.0
Sum of contribution of events ≤ t,-17,0.10721802711486816,9.0
Sum of contribution of events > t,-18,1.5699489116668701,9.0
Sum of contribution of events ≤ t,-18,0.04364371299743652,9.0
Sum of contribution of events > t,-19,1.6135916709899902,9.0
Sum of contribution of events ≤ t,-19,9.5367431640625e-07,9.0
Sum of contribution of events > t,0,0.0,10.0
Sum of contribution of events ≤ t,0,1.6044068336486816,10.0
Sum of contribution of events > t,-1,0.10616469383239746,10.0
Sum of contribution of events ≤ t,-1,1.4982421398162842,10.0
Sum of contribution of events > t,-2,0.49802565574645996,10.0
Sum of contribution of events ≤ t,-2,1.1063811779022217,10.0
Sum of contribution of events > t,-3,0.7073891162872314,10.0
Sum of contribution of events ≤ t,-3,0.8970177173614502,10.0
Sum of contribution of events > t,-4,0.8226306438446045,10.0
Sum of contribution of events ≤ t,-4,0.7817761898040771,10.0
Sum of contribution of events > t,-5,0.8995425701141357,10.0
Sum of contribution of events ≤ t,-5,0.7048642635345459,10.0
Sum of contribution of events > t,-6,0.9707400798797607,10.0
Sum of contribution of events ≤ t,-6,0.6336667537689209,10.0
Sum of contribution of events > t,-7,1.0240247249603271,10.0
Sum of contribution of events ≤ t,-7,0.5803821086883545,10.0
Sum of contribution of events > t,-8,1.0744950771331787,10.0
Sum of contribution of events ≤ t,-8,0.5299117565155029,10.0
Sum of contribution of events > t,-9,1.1234524250030518,10.0
Sum of contribution of events ≤ t,-9,0.4809544086456299,10.0
Sum of contribution of events > t,-10,1.1717851161956787,10.0
Sum of contribution of events ≤ t,-10,0.43262171745300293,10.0
Sum of contribution of events > t,-11,1.2173316478729248,10.0
Sum of contribution of events ≤ t,-11,0.38707518577575684,10.0
Sum of contribution of events > t,-12,1.268883466720581,10.0
Sum of contribution of events ≤ t,-12,0.3355233669281006,10.0
Sum of contribution of events > t,-13,1.3163206577301025,10.0
Sum of contribution of events ≤ t,-13,0.2880861759185791,10.0
Sum of contribution of events > t,-14,1.349330186843872,10.0
Sum of contribution of events ≤ t,-14,0.25507664680480957,10.0
Sum of contribution of events > t,-15,1.3885023593902588,10.0
Sum of contribution of events ≤ t,-15,0.21590447425842285,10.0
